ID,域,グループ,言語,全著者名,標題,掲載誌名,巻,号,開始ページ,終了ページ,出版年月日,DOI,PubmedID,業績種別,業績詳細種別,査読,責任著者,,IF
75,臨床医学域,医療情報マネジメント学,eng,"Kubota, Noriko; Furuta, Jun-Ichi; Onizawa, Saori; Saito, Akimasa; Nakamura, Yasuyuki; Ishitsuka, Yosuke; Watanabe, Rei; Fujisawa, Yasuhiro; Okiyama, Naoko; Fujimoto, Manabu",Oral pilocarpine alleviates the symptoms of acquired idiopathic generalised anhidrosis,European journal of dermatology,29,4,422,423,2019-06,10.1684/ejd.2019.3573,31251215,論文,学術雑誌,1,0,,2.782
69,臨床医学域,放射線腫瘍学,eng,"Shimizu, Shosei;Okumura, Toshiyuki;Oshiro, Yoshiko;Fukumitsu, Nobuyoshi;Fukuda, Kuniaki;Ishige, Kazunori;Hasegawa, Naoyuki;Numajiri, Haruko;Murofushi, Keiko;Ohnishi, Kayoko;Mizumoto, Masashi;Nonaka, Tetsuo;Ishikawa, Hitoshi;Sakurai, Hideyuki",Clinical outcomes of previously untreated patients with unresectable intrahepatic cholangiocarcinoma following proton beam therapy,Radiation oncology,14,1,,,2019-12,10.1186/s13014-019-1451-5,31881895,論文,学術雑誌,1,1,,2.817
37,生命医科学域,幹細胞治療,eng,"Kato Y, Hou LB, Miyagi S, Nitta E, Aoyama K, Shinoda D, Yamazaki S, Kuribayashi W, Isshiki Y, Koide S, Si S, Saraya A, Matsuzaki Y, van Lohuizen M, Iwama A. ",Bmi1 restricts the adipogenic differentiation of bone marrow stromal cells to maintain the integrity of the hematopoietic stem cell niche. ,Experimental Hematology,76,e-pub,24,37,2019-08,10.1016/j.exphem.2019.07.006,31408689,論文,学術雑誌,1,0,,2.82
37,生命医科学域,幹細胞治療,eng,"Nishimura T, Hsu I, Martinez-Krams DC, Nakauchi Y, Majeti R, Yamazaki S, Nakauchi H, Wilkinson AC. ",Use of polyvinyl alcohol for chimeric antigen receptor T-cell expansion. ,Experimental Hematology,80,e-pub,16,20,2019-12,10.1016/j.exphem.2019.11.007,31874780,論文,学術雑誌,1,0,,2.82
7,生命医科学域,腎・血管病理学,eng,"Minamikawa, Shogo; Miwa, Saori; Inagaki, Tetsuji; Nishiyama, Kei; Kaito, Hiroshi; Ninchoji, Takeshi; Yamamura, Tomohiko; Nagano, China; Sakakibara, Nana; Ishimori, Shingo; Hara, Shigeo; Yoshikawa, Norishige; Hirano, Daishi; Harada, Ryoko; Hamada, Riku; Matsunoshita, Natsuki; Nagata, Michio; Shima, Yuko; Nakanishi, Koichi; Nagase, Hiroaki; Takeda, Hiroki; Morisada, Naoya; Iijima, Kazumoto; Nozu, Kandai",Molecular mechanisms determining severity in patients with Pierson syndrome,Journal of Human Genetics,65,4,355,362,2020-01,10.1038/s10038-019-0715-0,31959872,論文,学術雑誌,1,0,,2.831
18,生命医科学域,遺伝医学,eng,"Koseki, Ryota;Morii, Wataru;Noguchi, Emiko;Ishikawa, Moena;Yang, Limin;Yamamoto-Hanada, Kiwako;Narita, Masami;Saito, Hirohisa;Ohya, Yukihiro",Effect of filaggrin loss-of-function mutations on atopic dermatitis in young age: a longitudinal birth cohort study,Journal of human genetics,64,9,911,917,2019-09,10.1038/s10038-019-0628-y,31249362,論文,学術雑誌,1,1,,2.831
28,生命医科学域,産業精神医学・宇宙医学,eng,"Shinichiro, Sasahara;Christina-Sylvia, Andrea;Go, Suzuki;Yuichi, Oi;Shotaro, Doki;Daisuke, Hori;takashi, Ohira;Chie, Matsuda;Natsuhiko, Inoue;Tsukasa, Takahashi;Yuh, Ohtaki;Tamaki, Saito;Satoshi, Furukawa;katsuhiko, Ogata;ichiyo, Matsuzaki","Effect of exercise on brain function as assessed by functional near-infrared spectroscopy during a verbal fluency test in a simulated International Space station environment: A single-case,  experimental ABA study in Japan",Acta Astronautica,166,,238,242,2019-10,10.1016/j.actaastro.2019.10.013,,論文,学術雑誌,1,1,,2.833
110,保健医療学域,保健医療政策学・医療経済学,eng,"Shono, Aiko; Kondo, Masahide; Hoshi, Shu-Ling; Okubo, Reiko; Yahagi, Naoya",Budget impact analysis reveals walk-in fingertip HbA1c testing in community pharmacies could provide a significant long-term reduction in public expenditure,Research in social & administrative pharmacy,17,2,368,371,2020-03,10.1016/j.sapharm.2020.03.014,32284300,論文,学術雑誌,1,0,,2.844
65,臨床医学域,災害・地域精神医学,eng,"Takahashi, Sho;M, Généreux;Schluter, P. J.;Usami, S;Mashino, S;Kayano, R;Kim, Y","Psychosocial Management Before, During, and After Emergencies and Disasters—Results from the Kobe Expert Meeting",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,8,1,8,2019-04,10.3390/ijerph16081309,31013679,論文,学術雑誌,1,0,,2.849
76,臨床医学域,地域医療教育学,eng,"Kawakami, Yoshiaki; Hamano, Jun","Changes in Body Mass Index, Energy Intake, and Fluid Intake over 60 Months Premortem as Prognostic Factors in Frail Elderly: A Post-Death Longitudinal Study",International journal of environmental research and public health,17,6,,,2020-03,10.3390/ijerph17061823,32168925,論文,学術雑誌,1,0,,2.849
44,臨床医学域,循環器内科学,eng,"Hoshino, Haruhiko; Matsuishi, Yujiro; Enomoto, Yuki; Shimojo, Nobutake; Kido, Takahiro; Matsuzaki, Asaki; Matsubara, Muneaki; Kato, Hideyuki; Hoshino, Tetsuya; Traube, Chani; Silver, Gabrielle; Kawano, Satoru; Inoue, Yoshiaki",The Validity and Reliability of the Japanese Version of the Cornell Assessment of Pediatric Delirium,Pediatric critical care medicine,21,5,E267,E273,2020-05,10.1097/PCC.0000000000002274,32106186,論文,学術雑誌,1,0,,2.854
66,臨床医学域,小児科学,eng,"Mizuguchi S, Motomura Y, Maki J, Baba R, Ichimiya Y, Tokuda K, Kaku N, Takada H, Maehara Y, Ohga S. ",Tracheal Size and Morphology on the Reconstructed CT Imaging.,Pediatric Critical Care Medicine,20,8,e366,e371,2019-08,10.1097/PCC.0000000000001996.,31162371,論文,学術雑誌,1,0,,2.854
42,臨床医学域,消化器内科学,eng,"Moriwaki, Toshikazu;Sakai, Yoshinori;Ishida, Hiroyasu;Yamamoto, Yoshiyuki;Endo, Shinji;Kuramochi, Hideaki;Sato, Mikio;Hatachi, Yukimasa;Bando, Yoshiaki;Maeba, Takashi;Ikezawa, Kazuto;Shimada, Mitsuo;Amagai, Kenji;Morimoto, Masamitsu;Kobayashi, Kazuma;Tsuji, Akihito;Nishina, Tomohiro;Hyodo, Ichinosuke",Phase II study of S-1 on alternate days plus bevacizumab in patients aged ≥ 75 years with metastatic colorectal cancer (J-SAVER),International journal of clinical oncology,24,10,1214,1222,2019-05,10.1007/s10147-019-01465-3,31089842,論文,学術雑誌,1,0,,2.879
42,臨床医学域,消化器内科学,eng,"Moriwaki, Toshikazu; Fukuoka, Shota; Masuishi, Toshiki; Takashima, Atsuo; Kumekawa, Yosuke; Kajiwara, Takeshi; Yamazaki, Kentaro; Esaki, Taito; Makiyama, Akitaka; Denda, Tadamichi; Hatachi, Yukimasa; Suto, Takeshi; Sugimoto, Naotoshi; Enomoto, Masanobu; Ishikawa, Toshiaki; Kashiwada, Tomomi; Oki, Eiji; Komatsu, Yoshito; Tsuji, Akihito; Tsuchihashi, Kenji; Sakai, Daisuke; Ueno, Hideki; Tamura, Takao; Yamashita, Kimihiro; Shimada, Yasuhiro",Prognostic scores for evaluating the survival benefit of regorafenib or trifluridine/tipiracil in patients with metastatic colorectal cancer: an exploratory analysis of the REGOTAS study,International journal of clinical oncology,25,4:::SI,614,621,2019-12,10.1007/s10147-019-01600-0,31838590,論文,学術雑誌,1,0,,2.879
59,臨床医学域,腎・泌尿器外科学,eng,"Nagumo, Yoshiyuki; Kojima, Takahiro; Shiga, Masanobu; Kandori, Shuya; Kimura, Tomokazu; Takaoka, Ei-Ichiro; Onozawa, Mizuki; Miyazaki, Jun; Kawai, Koji; Ishikawa, Hitoshi; Sakurai, Hideyuki; Nishiyama, Hiroyuki",A single-institute experience of trimodal bladder-preserving therapy for histologic variants of urothelial carcinoma,International journal of clinical oncology,25,2,354,361,2020-02,10.1007/s10147-019-01553-4,31595343,論文,学術雑誌,1,0,,2.879
59,臨床医学域,腎・泌尿器外科学,eng,"Naito, Yoichi;Mishima, Saori;Akagi, Kiwamu;Igarashi, Ataru;Ikeda, Masafumi;Okano, Susumu;Kato, Shunsuke;Takano, Tadao;Tsuchihara, Katsuya;Terashima, Keita;Nishihara, Hiroshi;Nishiyama, Hiroyuki;Hiyama, Eiso;Hirasawa, Akira;Hosoi, Hajime;Maeda, Osamu;Yatabe, Yasushi;Okamoto, Wataru;Ono, Shigeru;Kajiyama, Hiroaki;Nagashima, Fumio;Hatanaka, Yutaka;Miyachi, Mitsuru;Kodera, Yasuhiro;Yoshino, Takayuki;Taniguchi, Hiroya","Japan society of clinical oncology/Japanese society of medical oncology-led clinical recommendations on the diagnosis and use of tropomyosin receptor kinase inhibitors in adult and pediatric patients with neurotrophic receptor tyrosine kinase fusion-positive advanced solid tumors, cooperated by the Japanese society of pediatric hematology/oncology",International journal of clinical oncology,25,3,403,417,2020-03,10.1007/s10147-019-01610-y,31974683,論文,学術雑誌,1,0,,2.879
59,臨床医学域,腎・泌尿器外科学,eng,"Nishiyama, Hiroyuki; Yamamoto, Yoshiaki; Sassa, Naoto; Nishimura, Kazuo; Fujimoto, Kiyohide; Fukasawa, Satoshi; Yokoyama, Minato; Enokida, Hideki; Takahashi, Kenichi; Tanaka, Yoshinobu; Imai, Kentaro; Shimamoto, Takashi; Perini, Rodolfo; Frenkl, Tara; Bajorin, Dean; Bellmunt, Joaquim","Pembrolizumab versus chemotherapy in recurrent, advanced urothelial cancer in Japanese patients: a subgroup analysis of the phase 3 KEYNOTE-045 trial",International journal of clinical oncology,25,1,165,174,2020-01,10.1007/s10147-019-01545-4,31729625,論文,学術雑誌,1,0,,2.879
67,臨床医学域,産科婦人科学　　　　　　　　　　　　　　　,eng,"Shikama, Ayumi;Minaguchi, Takeo;Takao, Wataru;Hosokawa, Yoshihiko;Nishida, Keiko;Tasaka, Nobutaka;Akiyama, Azusa;Sakurai, Manabu;Ochi, Hiroyuki;Satoh, Toyomi",Predictors of favorable survival after secondary cytoreductive surgery for recurrent endometrial cancer,International journal of clinical oncology,24,10,1256,1263,2019-05,10.1007/s10147-019-01469-z,31098693,論文,学術雑誌,1,1,,2.879
2,生命医科学域,解剖学・神経科学,eng,"Nogami, Haruo;Koshida, Ryusuke;Omori, Hiroyuki;Shibata, Masahiro;Harigaya, Toshio;Takei, Yosuke",Inhibition of epidermal growth factor receptor stimulates PRL expression in primary culture of the mouse pituitary gland. ,Journal of Neuroendocrinology,31,8,1,8,2019-06,10.1111/jne.12764,31251840,論文,学術雑誌,1,1,,2.886
57,臨床医学域,整形外科学,eng,"Kadone, Hideki;Kubota, Shigeki;Abe, Tetsuya;Noguchi, Hiroshi;Miura, Kousei;Koda, Masao;Shimizu, Yukiyo;Hada, Yasushi;Sankai, Yoshiyuki;Suzuki, Kenji;Yamazaki, Masashi",Muscular Activity Modulation During Post-operative Walking With Hybrid Assistive Limb (HAL) in a Patient With Thoracic Myelopathy Due to Ossification of Posterior Longitudinal Ligament: A Case Report,FRONTIERS IN NEUROLOGY,11,,,,2020-03,10.3389/fneur.2020.00102,32296380,論文,学術雑誌,1,1,,2.889
64,臨床医学域,精神医学,eng,"Sone, Daichi; Maikusa, Norihide; Sato, Noriko; Kimura, Yukio; Ota, Miho; Matsuda, Hiroshi",Similar and Differing Distributions Between F-FDG-PET and Arterial Spin Labeling Imaging in Temporal Lobe Epilepsy,Frontiers in neurology,10,,318,,2019-04,10.3389/fneur.2019.00318,31001198,論文,学術雑誌,1,0,,2.889
105,保健医療学域,ヘルスサービスリサーチ,eng,"Miyamoto, Yoshihisa; Iwagami, Masao; Aso, Shotaro; Matsui, Hiroki; Doi, Kent; Yasunaga, Hideo",Pregabalin and injury: A nested case-control and case-crossover study,Pharmacoepidemiology and drug safety,29,5,558,564,2020-02,10.1002/pds.4976,32086848,論文,学術雑誌,1,0,,2.918
55,臨床医学域,消化器外科学,eng,"Miyazaki, Yoshihiro;Oda, Tatsuya;Shimomura, Osamu;Enomoto, Tsuyoshi;Akashi, Yoshimasa;Hisakura, Katsuji;Ohara, Yusuke;Kimura, Sota;Hashimoto, Shinji;Ohkohchi, Nobuhiro",Retrocolic Gastrojejunostomy After Pancreaticoduodenectomy: A Satisfactory Delayed Gastric-Emptying Rate,Pancreas,48,4,579,584,2019-04,10.1097/MPA.0000000000001295,30946235,論文,学術雑誌,1,1,,2.92
39,臨床医学域,腎臓内科学,eng,"Junichi Hoshino, Daniel Muenz, Jarcy Zee, Nidhi Sukul, Elodie Speyer, Murilo Guedes, Antonio A Lopes, Koichi Asahi, Heleen van Haalen, Glen James, Nafeesa Dhalwani, Roberto Pecoits-Filho, Brian Bieber, Bruce M Robinson, Ronald L Pisoni, CKDopps Investigators Collaborators:CKDopps (including  Yamagata Kunihiro)","Associations of Hemoglobin Levels With Health-Related Quality of Life, Physical Activity, and Clinical Outcomes in Persons With Stage 3-5 Nondialysis CKD",Journal of Renal Nutrition,30,5,404,414,2020-01,10.1053/j.jrn.2019.11.003,31980326,論文,解説その他,1,0,,2.929
44,臨床医学域,循環器内科学,eng,"Maruhashi, Tatsuya; Soga, Junko; Fujimura, Noritaka; Idei, Naomi; Mikami, Shinsuke; Iwamoto, Yumiko; Iwamoto, Akimichi; Kajikawa, Masato; Matsumoto, Takeshi; Oda, Nozomu; Kishimoto, Shinji; Matsui, Shogo; Hashimoto, Haruki; Takaeko, Yuji; Yamaji, Takayuki; Harada, Takahiro; Han, Yiming; Aibara, Yoshiki; Yusoff, Farina; Hidaka, Takayuki; Kihara, Yasuki; Chayama, Kazuaki; Noma, Kensuke; Nakashima, Ayumu; Goto, Chikara; Tomiyama, Hirofumi; Takase, Bonpei; Kohro, Takahide; Suzuki, Toru; Ishizu, Tomoko; Ueda, Shinichiro; Yamazaki, Tsutomu; Furumoto, Tomoo; Kario, Kazuomi; Inoue, Teruo; Koba, Shinji; Watanabe, Kentaro; Takemoto, Yasuhiko; Hano, Takuzo; Sata, Masataka; Ishibashi, Yutaka; Node, Koichi; Maemura, Koji; Ohya, Yusuke; Furukawa, Taiji; Ito, Hiroshi; Ikeda, Hisao; Yamashina, Akira; Higashi, Yukihito",Increased arterial stiffness and cardiovascular risk prediction in controlled hypertensive patients with coronary artery disease: post hoc analysis of FMD-J (Flow-mediated Dilation Japan) Study A,HYPERTENSION RESEARCH,43,8,781,790,2020-08,10.1038/s41440-020-0420-6,32152482,論文,学術雑誌,1,0,,2.941
105,保健医療学域,ヘルスサービスリサーチ,eng,"Li, Jiaqi;Muraki, Isao;Imano, Hironori;Cui, Renzhe;Yamagishi, Kazumasa;Umesawa, Mitsumasa;Hayama-Terada, Mina;Ohira, Tetsuya;Kiyama, Masahiko;Okada, Takeo;Sankai, Tomoko;Tanigawa, Takeshi;Kitamura, Akihiko;Iso, Hiroyasu;Shimizu, Yuji;Kubota, Yasuhiko;Sato, Shinichi;Jinnouchi, Hiroshige;Sata, Mizuki;Maruyama, Koutatsu;Ikeda, Ai;Nagao, Masanori",Serum uric acid and risk of stroke and its types: the Circulatory Risk in Communities Study (CIRCS),Hypertension research,43,4,313,321,2020-01,10.1038/s41440-019-0385-5,31988479,論文,学術雑誌,1,0,,2.941
71,臨床医学域,臨床検査医学,eng,"Yamauchi, Kazuyoshi; Iwasaki, Shio; Kawakami, Yasushi",Redox equilibrium of serum apolipoprotein E3: A buffering effect of disulfide-linked complexes against oxidative stress on apolipoprotein E3-containing lipoproteins,Bioscience reports,39,4,,,2019-04,10.1042/BSR20190184,30948502,論文,学術雑誌,1,0,,2.942
105,保健医療学域,ヘルスサービスリサーチ,eng,"Komaru, Yohei; Inokuchi, Ryota; Iwagami, Masao; Hamasaki, Yoshifumi; Nangaku, Masaomi; Doi, Kent",Inverse Correlation Between Incidence and Mortality of Acute Kidney Injury in Critically Ill Patients: A Systematic Review,Shock,54,3,280,284,2020-01,10.1097/SHK.0000000000001511,31977959,論文,学術雑誌,1,0,,2.96
1,生命医科学域,解剖学・発生学,eng,"Hamada, Michito;Yadav, Manoj Kumar;Inoue, Yuri;Nakane-Otani, Aya;Tsunakawa, Yuki;Jeon, Hyojung;Samir, Omar;Teramoto, Akari;Kukathunga, Kaushalya;Kusakabe, Manabu;Nakamura, Megumi;Kudo, Takashi;takahashi, Satoru",Transcription factor MafB is a marker of tumor-associated macrophages in both mouse and humans,Biochemical and Biophysical Research Communications,521,3,590,595,2020-01,10.1016/j.bbrc.2019.10.125,31679694,論文,学術雑誌,1,1,,2.985
6,生命医科学域,実験病理学,eng,"Tran, S., Hipolito, C. J., Suzuki, H., Xie, R., Kim Tuyen, H. D., Dijke, P. T., Terasaka, N., Goto, Y., Suga, H., & Kato, M",Generation of non-standard macrocyclic peptides specifically binding TSC-22 homologous gene-1,Biochemical and Biophysical Research Communications,516,2,445,450,2019-06,10.1016/j.bbrc.2019.06.035,31227214,論文,学術雑誌,1,1,,2.985
6,生命医科学域,実験病理学,eng,"Zhang, Xin;Koga, Natsumi;Suzuki, Hiroyuki;Kato, Mitsuyasu",Promotion of cellular senescence by THG-1/TSC22D4 knockout through activation of JUNB,Biochemical and Biophysical Research Communications,522,4,897,902,2019-12,10.1016/j.bbrc.2019.11.145,31806366,論文,学術雑誌,1,1,,2.985
6,生命医科学域,実験病理学,eng,"Hwang, Jongchan;Haque, Md Anwarul;Suzuki, Hiroyuki;Dijke, Peter Ten;Kato, Mitsuyasu",THG-1 suppresses SALL4 degradation to induce stemness genes and tumorsphere formation through antagonizing NRBP1 in squamous cell carcinoma cells,Biochemical and Biophysical Research Communications,523,2,307,314,2019-12,10.1016/j.bbrc.2019.11.149,31864704,論文,学術雑誌,1,1,,2.985
30,生命医科学域,分子行動生理学,eng,"Srinivasan, Sakthivel; Hosokawa, Takuma; Vergara, Pablo; Chérasse, Yoan; Naoi, Toshie; Sakurai, Takeshi; Sakaguchi, Masanori",Miniaturized microscope with flexible light source input for neuronal imaging and manipulation in freely behaving animals,Biochemical and Biophysical Research Communications,517,3,520,524,2019-09,10.1016/j.bbrc.2019.07.082,31376934,論文,学術雑誌,1,0,,2.985
37,生命医科学域,幹細胞治療,eng,"Kanai, Maho;Jeon, Hyojung;Ojima, Masami;Nishino, Teppei;Usui, Toshiaki;Yadav, Manoj Kumar;Kulathunga, Kaushalya;Morito, Naoki;Takahashi, Satoru;Hamada, Michito",Phenotypic analysis of mice carrying human-type MAFB p.Leu239Pro mutation,Biochemical and Biophysical Research Communications,523,2,452,457,2019-12,10.1016/j.bbrc.2019.12.033,31882119,論文,学術雑誌,1,1,,2.985
39,臨床医学域,腎臓内科学,eng,"Maho Kanai, Hyojung Jeon, Masami Ojima  , Teppei Nishino , Toshiaki Usui,  Manoj Kumar Yadav,  Kaushalya Kulathunga, Naoki Morito, Satoru Takahashi,  Michito Hamada ",Phenotypic Analysis of Mice Carrying Human-Type MAFB p.Leu239Pro Mutation,Biochemical and biophysical research communications,523,2,452,457,2020-03,10.1016/j.bbrc.2019.12.033.,31882119,論文,学術雑誌,1,0,,2.985
44,臨床医学域,循環器内科学,eng,"Haginiwa, Sho;Sadahiro, Taketaro;Kojima, Hidenori;Isomi, Mari;Tamura, Fumiya;Kurotsu, Shota;Tani, Hidenori;Muraoka, Naoto;Miyake, Noriko;Miyake, Koichi;Fukuda, Keiichi;Ieda, Masaki",Tbx6 induces cardiomyocyte proliferation in postnatal and adult mouse hearts,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,513,4,1041,1047,2019-06,10.1016/j.bbrc.2019.04.087,31010673,論文,学術雑誌,1,1,,2.985
45,臨床医学域,代謝内分泌・糖尿病内科学,eng,"Ma, Yang;Sekiya, Motohiro;Kainoh, Kenta;Matsuda, Takaaki;Iwasaki, Hitoshi;Osaki, Yoshinori;Sugano, Yoko;Suzuki, Hiroaki;Takeuchi, Yoshinori;Miyamoto, Takafumi;Yahagi, Naoya;Nakagawa, Yoshimi;Matsuzaka, Takashi;Shimano, Hitoshi",Transcriptional co-repressor CtBP2 orchestrates epithelial-mesenchymal transition through a novel transcriptional holocomplex with OCT1,Biochemical and biophysical research communications,523,2,354,360,2020-03,10.1016/j.bbrc.2019.12.070,31866012,論文,学術雑誌,1,0,,2.985
87,臨床医学域,茨城県地域臨床教育センター,eng,"Fuseya, Sayaka; Suzuki, Riku; Okada, Risa; Hagiwara, Kozue; Sato, Takashi; Narimatsu, Hisashi; Yokoi, Hideki; Kasahara, Masato; Usui, Toshiaki; Morito, Naoki; Yamagata, Kunihiro; Kudo, Takashi; Takahashi, Satoru","Mice lacking core 1-derived O-glycan in podocytes develop transient proteinuria, resulting in focal segmental glomerulosclerosis",Biochemical and biophysical research communications,523,4,1007,1013,2020-01,10.1016/j.bbrc.2020.01.033,31973821,論文,学術雑誌,1,0,,2.985
109,保健医療学域,国際社会医学・福祉医療学,eng,"Chen, Sanmei;Mizoue, Tetsuya;Hu, Huanhuan;Kuwahara, Keisuke;Honda, Toru;Yamamoto, Shuichiro;Nakagawa, Tohru;Miyamoto, Toshiaki;Okazaki, Hiroko;Shimizu, Makiko;Murakami, Taizo;Eguchi, Masafumi;Kochi, Takeshi;Yamamoto, Makoto;Ogasawara, Takayuki;Sasaki, Naoko;Uehara, Akihiko;Imai, Teppei;Nishihara, Akiko;Hori, Ai;Nagahama, Satsue;Tomita, Kentaro;Konishi, Maki;Kabe, Isamu;Dohi, Seitaro",Serum cholesterol levels preceding to suicide death in Japanese workers: a nested case-control study,Acta neuropsychiatrica,31,5,266,269,2019-10,10.1017/neu.2019.26,31258109,論文,学術雑誌,1,0,,3
86,臨床医学域,水戸地域医療教育センター,eng,"Kagohashi, Katsunori; Miyazaki, Kunihiko; Shiozawa, Toshihiro; Satoh, Hiroaki",Emphysema affects the number and characteristics of solitary pulmonary nodules,POLISH ARCHIVES OF INTERNAL MEDICINE-POLSKIE ARCHIWUM MEDYCYNY WEWNETRZNEJ,130,3,261,261,2020-03,10.20452/pamw.15263,32218396,論文,学術雑誌,1,0,,3.007
86,臨床医学域,水戸地域医療教育センター,eng,"Okauchi, Shinichiro; Sasatani, Yuika; Satoh, Hiroaki",End-of-life care for patients with advanced lung cancer and chronic obstructive pulmonary disease,POLISH ARCHIVES OF INTERNAL MEDICINE-POLSKIE ARCHIWUM MEDYCYNY WEWNETRZNEJ,129,6,436,436,2019-06,10.20452/pamw.14885,30833536,論文,学術雑誌,1,0,,3.007
39,臨床医学域,腎臓内科学,eng,"Suzuki, Aika; Sakamoto, Susumu; Kurosaki, Atsuko; Kurihara, Yasuyuki; Satoh, Keita; Usui, Yusuke; Nanki, Toshihiro; Arimura, Yoshihiro; Makino, Hirofumi; Okada, Yasunori; Harigai, Masayoshi; Yamagata, Kunihiro; Sugiyama, Hitoshi; Dobashi, Hiroaki; Ishizu, Akihiro; Tsuboi, Naotake; Usui, Joichi; Sada, Ken-Ei; Homma, Sakae",Chest High-Resolution CT Findings of Microscopic Polyangiitis: A Japanese First Nationwide Prospective Cohort Study,American journal of roentgenology,213,1,104,114,2019-04,10.2214/AJR.18.20967,30973774,論文,学術雑誌,1,0,,3.013
28,生命医科学域,産業精神医学・宇宙医学,eng,"Hori, Daisuke; Sasahara, Shinichiro; Oi, Yuichi; Doki, Shotaro; Andrea, Christina-Sylvia; Takahashi, Tsukasa; Shiraki, Nagisa; Ikeda, Tomohiko; Ikeda, Yu; Kambayashi, Toshiyuki; Aoki, Eiichi; Matsuzaki, Ichiyo","Relationships between insomnia, long working hours, and long commuting time among public school teachers in Japan: a nationwide cross-sectional diary study",Sleep medicine,75,,62,72,2019-10,10.1016/j.sleep.2019.09.017,32853920,論文,学術雑誌,0,1,,3.038
76,臨床医学域,地域医療教育学,eng,"Otsuka, Yuichiro; Kaneita, Yoshitaka; Itani, Osamu; Jike, Maki; Osaki, Yoneatsu; Higuchi, Susumu; Kanda, Hideyuki; Kinjo, Aya; Kuwabara, Yuki; Yoshimoto, Hisashi",The relationship between subjective happiness and sleep problems in Japanese adolescents,Sleep medicine,69,,120,126,2020-01,10.1016/j.sleep.2020.01.008,32062038,論文,学術雑誌,1,0,,3.038
46,臨床医学域,神経内科学,eng,"Nakamagoe, Kiyotaka;Yamada, Shiori;Kawakami, Rio;Koganezawa, Tadachika;Tamaoka, Akira",Abnormal Saccadic Intrusions with Alzheimer's Disease in Darkness,CURRENT ALZHEIMER RESEARCH,16,4,293,301,2019-05,10.2174/1567205016666190311102130,30854969,論文,学術雑誌,1,1,,3.047
47,臨床医学域,皮膚科学,eng,"Yokota, Kenji; Uchi, Hiroshi; Uhara, Hisashi; Yoshikawa, Shusuke; Takenouchi, Tatsuya; Inozume, Takashi; Ozawa, Kentaro; Ihn, Hironobu; Fujisawa, Yasuhiro; Qureshi, Anila; de Pril, Veerle; Otsuka, Yasushi; Weber, Jeffrey; Yamazaki, Naoya",Adjuvant therapy with nivolumab versus ipilimumab after complete resection of stage III/IV melanoma: Japanese subgroup analysis from the phase 3 CheckMate 238 study,Journal of dermatology,46,12,1197,1201,2019-12,10.1111/1346-8138.15103,31638282,論文,学術雑誌,1,0,,3.072
47,臨床医学域,皮膚科学,eng,"Yamashita, Chisato; Yoshino, Koji; Oaku, Satoe; Hiura, Azusa; Uehara, Jiro; Otsuka, Atsushi; Fujisawa, Yasuhiro",Bone metastases could be predictive factors of central nervous system metastases in extramammary Paget's disease,JOURNAL OF DERMATOLOGY,47,4,E130,E131,2020-02,10.1111/1346-8138.15253,32056255,論文,学術雑誌,1,0,,3.072
47,臨床医学域,皮膚科学,eng,"Yu, Yue; Furuta, Junichi; Watanabe, Rei; Inoue, Sae; Nakamura, Yoshiyuki; Ishitsuka, Yosuke; Okiyama, Naoko; Ishii, Yoshiyuki; Fujisawa, Yasuhiro",Case of bullous pemphigoid who achieved a long-term remission by a single course of high-dose i.v. immunoglobulin monotherapy,Journal of dermatology,47,6,E225,E227,2020-03,10.1111/1346-8138.15331,32207163,論文,学術雑誌,1,0,,3.072
47,臨床医学域,皮膚科学,eng,"Maeda, Takuya; Yoshino, Koji; Yamashita, Chisato; Nagai, Kojiro; Oaku, Satoe; Kato, Megumi; Hiura, Azusa; Uehara, Jiro; Fujisawa, Yasuhiro",Dynamics of neutrophil and C-reactive protein reflect the clinical course of pyrexia during combination therapy with dabrafenib and trametinib,Journal of dermatology,46,8,716,719,2019-08,10.1111/1346-8138.14949,31180164,論文,学術雑誌,1,0,,3.072
47,臨床医学域,皮膚科学,eng,"Ogawa T, Okiyama N, Takamuki R, Inoue S, Saito A, Nakamura Y, Ishitsuka Y, Watanabe R, Fujisawa Y, Fujimoto M.",Juvenile case of multiple morphea profunda resulting in joint contracture that was successfully treated with cyclosporin A: A case report and review of the published works.,Journal of dermatology,46,4,354,357,2019-04,10.1111/1346-8138.14801,30701571,論文,学術雑誌,1,1,,3.072
47,臨床医学域,皮膚科学,eng,"Nakamura, Yoshiyuki; Ishizuki, Shoichiro; Ishitsuka, Yosuke; Watanabe, Rei; Saito, Akimasa; Furuta, Junichi; Okiyama, Naoko; Fujisawa, Yasuhiro","Multiple, lipid-containing, subcutaneous cysts suspected of end-stage nodular cystic fat necrosis",JOURNAL OF DERMATOLOGY,47,3,e85,e87,2020-03,10.1111/1346-8138.15205,31876305,論文,学術雑誌,1,1,,3.072
